date,community_area_id,community_area,n_crashes,dow,month,weekofyear,is_weekend,dow_sin,dow_cos,lag_1,lag_7,lag_14,rolling_7
2023-01-01,1,ROGERS PARK,6,6,1,52,1,-0.7818314824680299,0.6234898018587334,0.0,0.0,0.0,0.0
2023-01-02,1,ROGERS PARK,1,0,1,1,0,0.0,1.0,6.0,0.0,0.0,0.0
2023-01-03,1,ROGERS PARK,3,1,1,1,0,0.7818314824680298,0.6234898018587336,1.0,0.0,0.0,0.0
2023-01-04,1,ROGERS PARK,3,2,1,1,0,0.9749279121818236,-0.22252093395631434,3.0,0.0,0.0,0.0
2023-01-05,1,ROGERS PARK,8,3,1,1,0,0.43388373911755823,-0.900968867902419,3.0,0.0,0.0,0.0
2023-01-06,1,ROGERS PARK,3,4,1,1,0,-0.433883739117558,-0.9009688679024191,8.0,0.0,0.0,0.0
2023-01-07,1,ROGERS PARK,3,5,1,1,1,-0.9749279121818236,-0.2225209339563146,3.0,0.0,0.0,0.0
2023-01-08,1,ROGERS PARK,2,6,1,1,1,-0.7818314824680299,0.6234898018587334,3.0,6.0,0.0,3.857142857142857
2023-01-09,1,ROGERS PARK,3,0,1,2,0,0.0,1.0,2.0,1.0,0.0,3.2857142857142856
2023-01-10,1,ROGERS PARK,4,1,1,2,0,0.7818314824680298,0.6234898018587336,3.0,3.0,0.0,3.5714285714285716
2023-01-11,1,ROGERS PARK,2,2,1,2,0,0.9749279121818236,-0.22252093395631434,4.0,3.0,0.0,3.7142857142857144
2023-01-12,1,ROGERS PARK,4,3,1,2,0,0.43388373911755823,-0.900968867902419,2.0,8.0,0.0,3.5714285714285716
2023-01-13,1,ROGERS PARK,5,4,1,2,0,-0.433883739117558,-0.9009688679024191,4.0,3.0,0.0,3.0
2023-01-14,1,ROGERS PARK,2,5,1,2,1,-0.9749279121818236,-0.2225209339563146,5.0,3.0,0.0,3.2857142857142856
2023-01-15,1,ROGERS PARK,1,6,1,2,1,-0.7818314824680299,0.6234898018587334,2.0,2.0,6.0,3.142857142857143
2023-01-16,1,ROGERS PARK,1,0,1,3,0,0.0,1.0,1.0,3.0,1.0,3.0
2023-01-17,1,ROGERS PARK,5,1,1,3,0,0.7818314824680298,0.6234898018587336,1.0,4.0,3.0,2.7142857142857144
2023-01-18,1,ROGERS PARK,4,2,1,3,0,0.9749279121818236,-0.22252093395631434,5.0,2.0,3.0,2.857142857142857
2023-01-19,1,ROGERS PARK,1,3,1,3,0,0.43388373911755823,-0.900968867902419,4.0,4.0,8.0,3.142857142857143
2023-01-20,1,ROGERS PARK,1,4,1,3,0,-0.433883739117558,-0.9009688679024191,1.0,5.0,3.0,2.7142857142857144
2023-01-21,1,ROGERS PARK,6,5,1,3,1,-0.9749279121818236,-0.2225209339563146,1.0,2.0,3.0,2.142857142857143
2023-01-22,1,ROGERS PARK,3,6,1,3,1,-0.7818314824680299,0.6234898018587334,6.0,1.0,2.0,2.7142857142857144
2023-01-23,1,ROGERS PARK,2,0,1,4,0,0.0,1.0,3.0,1.0,3.0,3.0
2023-01-24,1,ROGERS PARK,4,1,1,4,0,0.7818314824680298,0.6234898018587336,2.0,5.0,4.0,3.142857142857143
2023-01-25,1,ROGERS PARK,8,2,1,4,0,0.9749279121818236,-0.22252093395631434,4.0,4.0,2.0,3.0
2023-01-26,1,ROGERS PARK,4,3,1,4,0,0.43388373911755823,-0.900968867902419,8.0,1.0,4.0,3.5714285714285716
2023-01-27,1,ROGERS PARK,9,4,1,4,0,-0.433883739117558,-0.9009688679024191,4.0,1.0,5.0,4.0
2023-01-28,1,ROGERS PARK,5,5,1,4,1,-0.9749279121818236,-0.2225209339563146,9.0,6.0,2.0,5.142857142857143
2023-01-29,1,ROGERS PARK,3,6,1,4,1,-0.7818314824680299,0.6234898018587334,5.0,3.0,1.0,5.0
2023-01-30,1,ROGERS PARK,5,0,1,5,0,0.0,1.0,3.0,2.0,1.0,5.0
2023-01-31,1,ROGERS PARK,6,1,1,5,0,0.7818314824680298,0.6234898018587336,5.0,4.0,5.0,5.428571428571429
2023-02-01,1,ROGERS PARK,5,2,2,5,0,0.9749279121818236,-0.22252093395631434,6.0,8.0,4.0,5.714285714285714
2023-02-02,1,ROGERS PARK,2,3,2,5,0,0.43388373911755823,-0.900968867902419,5.0,4.0,1.0,5.285714285714286
2023-02-03,1,ROGERS PARK,8,4,2,5,0,-0.433883739117558,-0.9009688679024191,2.0,9.0,1.0,5.0
2023-02-04,1,ROGERS PARK,4,5,2,5,1,-0.9749279121818236,-0.2225209339563146,8.0,5.0,6.0,4.857142857142857
2023-02-05,1,ROGERS PARK,1,6,2,5,1,-0.7818314824680299,0.6234898018587334,4.0,3.0,3.0,4.714285714285714
2023-02-06,1,ROGERS PARK,4,0,2,6,0,0.0,1.0,1.0,5.0,2.0,4.428571428571429
2023-02-07,1,ROGERS PARK,4,1,2,6,0,0.7818314824680298,0.6234898018587336,4.0,6.0,4.0,4.285714285714286
2023-02-08,1,ROGERS PARK,3,2,2,6,0,0.9749279121818236,-0.22252093395631434,4.0,5.0,8.0,4.0
2023-02-09,1,ROGERS PARK,1,3,2,6,0,0.43388373911755823,-0.900968867902419,3.0,2.0,4.0,3.7142857142857144
2023-02-10,1,ROGERS PARK,1,4,2,6,0,-0.433883739117558,-0.9009688679024191,1.0,8.0,9.0,3.5714285714285716
2023-02-11,1,ROGERS PARK,5,5,2,6,1,-0.9749279121818236,-0.2225209339563146,1.0,4.0,5.0,2.5714285714285716
2023-02-12,1,ROGERS PARK,3,6,2,6,1,-0.7818314824680299,0.6234898018587334,5.0,1.0,3.0,2.7142857142857144
2023-02-13,1,ROGERS PARK,6,0,2,7,0,0.0,1.0,3.0,4.0,5.0,3.0
2023-02-14,1,ROGERS PARK,5,1,2,7,0,0.7818314824680298,0.6234898018587336,6.0,4.0,6.0,3.2857142857142856
2023-02-15,1,ROGERS PARK,3,2,2,7,0,0.9749279121818236,-0.22252093395631434,5.0,3.0,5.0,3.4285714285714284
2023-02-16,1,ROGERS PARK,6,3,2,7,0,0.43388373911755823,-0.900968867902419,3.0,1.0,2.0,3.4285714285714284
2023-02-17,1,ROGERS PARK,9,4,2,7,0,-0.433883739117558,-0.9009688679024191,6.0,1.0,8.0,4.142857142857143
2023-02-18,1,ROGERS PARK,4,5,2,7,1,-0.9749279121818236,-0.2225209339563146,9.0,5.0,4.0,5.285714285714286
2023-02-19,1,ROGERS PARK,3,6,2,7,1,-0.7818314824680299,0.6234898018587334,4.0,3.0,1.0,5.142857142857143
2023-02-20,1,ROGERS PARK,1,0,2,8,0,0.0,1.0,3.0,6.0,4.0,5.142857142857143
2023-02-21,1,ROGERS PARK,2,1,2,8,0,0.7818314824680298,0.6234898018587336,1.0,5.0,4.0,4.428571428571429
2023-02-22,1,ROGERS PARK,3,2,2,8,0,0.9749279121818236,-0.22252093395631434,2.0,3.0,3.0,4.0
2023-02-23,1,ROGERS PARK,2,3,2,8,0,0.43388373911755823,-0.900968867902419,3.0,6.0,1.0,4.0
2023-02-24,1,ROGERS PARK,9,4,2,8,0,-0.433883739117558,-0.9009688679024191,2.0,9.0,1.0,3.4285714285714284
2023-02-25,1,ROGERS PARK,3,5,2,8,1,-0.9749279121818236,-0.2225209339563146,9.0,4.0,5.0,3.4285714285714284
2023-02-26,1,ROGERS PARK,2,6,2,8,1,-0.7818314824680299,0.6234898018587334,3.0,3.0,3.0,3.2857142857142856
2023-02-27,1,ROGERS PARK,4,0,2,9,0,0.0,1.0,2.0,1.0,6.0,3.142857142857143
2023-02-28,1,ROGERS PARK,2,1,2,9,0,0.7818314824680298,0.6234898018587336,4.0,2.0,5.0,3.5714285714285716
